PRODUCT NAME,SLUG,variant1_name,variant1_options,variant2_name,variant2_options,variant3_name,variant3_options,variant4_name,variant4_options
Cosmic Rust,cosmic-rust,Thickness,20–22 MM,Size,"Length 4""–15"" · Width 4""–15"" (random)",Edges,Hand-cut sides,Packaging,Crate pack - 220 sqft/pack
Cosmic Black,cosmic-black,Thickness,20–22 MM,Size,"Length 4""–15"" · Width 4""–15"" (random)",Edges,Hand-cut sides,Packaging,Crate pack - 220 sqft/pack
Mint Frost,mint-frost,Thickness,20–22 MM,Size,"Length 4""–15"" · Width 4""–15"" (random)",Edges,Hand-cut sides,Packaging,Crate pack - 220 sqft/pack
Linea Black,linea-black,Thickness,20–22 MM,Size,"Length 4""–15"" · Width 4""–15"" (random)",Edges,Hand-cut sides,Packaging,Crate pack - 220 sqft/pack
Rustic Blend,rustic-blend,Thickness,20–22 MM,Size,"Length 4""–15"" · Width 4""–15"" (random)",Edges,Hand-cut sides,Packaging,Crate pack - 220 sqft/pack
Rustic Brown,rustic-brown,Thickness,20–22 MM,Size,"Length 4""–15"" · Width 4""–15"" (random)",Edges,Hand-cut sides,Packaging,Crate pack - 220 sqft/pack
Castle Grey,castle-grey,Thickness,20–22 MM,Size,"Length 4""–15"" · Width 4""–15"" (random)",Edges,Hand-cut sides,Packaging,Crate pack - 220 sqft/pack
Sahara Sands Mirror,sahara-sands-mirror,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
Sahara Sands Leather,sahara-sands-leather,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
Sahara Sands Shotblast,sahara-sands-shotblast,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
Sahara Sands Shotblast + Leather,sahara-sands-shotblast-leather,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
Sahara Sands Soft Grooves,sahara-sands-soft-grooves,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
Sahara Sands Soft Linea,sahara-sands-soft-linea,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
Sahara Sands Rustic Linea,sahara-sands-rustic-linea,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
Castle Grey Mirror,castle-grey-mirror,Thickness,20 MM | 25 MM | 30 MM | 40 MM | 50 MM,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges,Packaging,Loose
